employee_id,store_id,salary
1,46,33345
2,29,23325
3,54,22348
4,22,77360
5,75,69422
6,46,74561
7,34,64892
8,31,50024
9,25,26288
10,83,27443
11,21,42424
12,17,66567
13,14,63669
14,8,53304
15,77,71210
16,100,29757
17,4,64876
18,16,77011
19,90,79607
20,66,76981
21,1,67882
22,47,72314
23,22,36111
24,70,48721
25,45,46090
26,91,42725
27,37,31998
28,69,37375
29,25,32658
30,97,25686
31,72,74673
32,55,41615
33,86,78045
34,84,43691
35,90,26893
36,2,52795
37,74,45254
38,16,76329
39,74,34016
40,56,73677
41,75,40528
42,55,67279
43,95,79630
44,89,39239
45,17,73494
46,6,23757
47,8,72704
48,59,56115
49,29,40296
50,18,29240
51,35,26109
52,73,70136
53,8,48126
54,39,50751
55,21,43527
56,18,56040
57,12,27419
58,55,29844
59,16,44402
60,20,68988
61,68,23497
62,74,50872
63,19,79569
64,94,29944
65,21,65608
66,11,73633
67,36,65001
68,26,48006
69,61,44317
70,93,52972
71,74,20046
72,50,38042
73,72,58869
74,77,61651
75,49,61631
76,41,71382
77,3,20329
78,12,32484
79,74,66965
80,27,20078
81,70,55175
82,57,24587
83,78,61213
84,90,33931
85,42,29032
86,56,60560
87,86,70147
88,17,42298
89,71,59446
90,52,54101
91,40,35914
92,58,57885
93,42,62192
94,25,74951
95,61,63269
96,3,51887
97,90,50293
98,1,31262
99,95,35867
100,34,44452
101,37,34596
102,60,51226
103,4,52911
104,20,40584
105,55,52499
106,80,40001
107,51,40793
108,49,63486
109,95,60440
110,29,39533
111,2,61444
112,51,79343
113,4,57267
114,74,45848
115,82,32901
116,100,36152
117,50,20577
118,61,53413
119,100,52425
120,86,51874
121,92,27865
122,82,46655
123,74,79006
124,44,58608
125,74,38316
126,40,32787
127,54,50279
128,92,47685
129,11,34401
130,26,72695
131,31,77840
132,52,58060
133,59,52659
134,39,73793
135,65,23078
136,39,52266
137,93,52535
138,49,21024
139,15,65252
140,64,31179
141,85,75080
142,21,35497
143,29,46038
144,47,48662
145,26,25050
146,16,30939
147,58,46982
148,2,36386
149,61,37852
150,54,58952
151,31,20741
152,44,72812
153,53,41990
154,100,40760
155,36,67503
156,67,47295
157,47,68544
158,83,53478
159,22,49316
160,49,61404
161,94,72309
162,3,28787
163,80,33447
164,64,45310
165,81,69544
166,76,58796
167,35,63164
168,58,64620
169,1,46698
170,71,37743
171,41,69987
172,9,25373
173,25,24513
174,48,20419
175,68,24351
176,41,23337
177,29,35722
178,65,33861
179,29,61724
180,13,71941
181,24,48169
182,13,52701
183,87,75656
184,68,62458
185,48,49137
186,56,43879
187,44,49557
188,60,74642
189,62,69643
190,21,39408
191,88,25420
192,78,66865
193,92,54581
194,94,27307
195,70,38146
196,54,62192
197,66,26063
198,84,63869
199,95,32807
200,19,60384
201,30,46242
202,43,21981
203,5,39742
204,43,23913
205,6,52938
206,59,52997
207,40,49073
208,64,37578
209,53,44780
210,15,61289
211,32,21778
212,4,35205
213,15,62515
214,72,36047
215,26,69030
216,53,23844
217,37,75312
218,80,39601
219,34,55640
220,18,61042
221,98,27763
222,48,36613
223,22,70056
224,25,55636
225,53,30407
226,29,48718
227,69,49697
228,70,24556
229,58,30611
230,36,57275
231,22,34198
232,9,69180
233,7,34608
234,73,25593
235,73,22556
236,52,25302
237,52,21523
238,21,28607
239,18,35123
240,33,70508
241,74,38916
242,72,67531
243,26,49788
244,33,78711
245,93,66486
246,82,51269
247,70,43112
248,37,33199
249,13,50530
250,64,70362
251,10,38443
252,43,42379
253,58,68131
254,93,22969
255,29,43859
256,95,70839
257,54,74220
258,41,29430
259,23,50219
260,41,28648
261,53,65645
262,33,53741
263,52,48935
264,38,67956
265,5,70027
266,43,28221
267,95,79435
268,63,77727
269,42,34194
270,29,44692
271,40,71120
272,94,47986
273,10,70726
274,13,75023
275,38,41990
276,36,38188
277,26,51559
278,22,76577
279,83,42710
280,63,22101
281,19,54502
282,89,43246
283,80,67647
284,44,48676
285,53,21767
286,64,75225
287,60,69968
288,72,49204
289,86,77697
290,28,77032
291,11,27898
292,54,25011
293,77,75202
294,33,74164
295,33,20518
296,7,25339
297,6,53588
298,31,43649
299,17,51256
300,1,23769
301,40,45533
302,2,66132
303,8,62635
304,94,72526
305,74,47191
306,19,28413
307,13,57785
308,57,30498
309,89,28572
310,58,35886
311,61,65725
312,54,65945
313,56,34429
314,18,58222
315,36,62820
316,8,47758
317,26,48092
318,84,71662
319,45,30335
320,23,21074
321,47,21261
322,67,43028
323,22,77176
324,19,56952
325,72,51058
326,1,63129
327,78,28892
328,39,72168
329,83,27695
330,31,23780
331,2,57749
332,52,22876
333,5,27118
334,34,24140
335,58,76914
336,40,57815
337,85,64637
338,42,50859
339,45,21345
340,62,77875
341,18,37648
342,59,21958
343,61,45354
344,2,57519
345,8,36342
346,53,51139
347,37,27944
348,44,38887
349,52,70101
350,16,51562
351,40,71876
352,74,28972
353,72,40402
354,27,35007
355,77,73612
356,54,31600
357,58,20695
358,63,57518
359,80,35772
360,37,25858
361,35,24239
362,57,60836
363,59,55926
364,81,75786
365,50,33238
366,2,23923
367,56,77792
368,85,37174
369,5,30272
370,57,35620
371,88,65978
372,88,41828
373,7,53248
374,94,34274
375,6,23008
376,47,69200
377,98,68334
378,40,30207
379,17,49085
380,7,58587
381,18,71189
382,85,68242
383,84,66680
384,24,32880
385,97,44849
386,48,60846
387,67,52217
388,19,46850
389,69,49370
390,67,68493
391,6,51290
392,63,41290
393,63,74686
394,87,44018
395,39,78874
396,47,27906
397,66,65059
398,19,28326
399,4,48493
400,84,59186
401,63,49096
402,57,47271
403,5,72962
404,66,37560
405,95,73290
406,94,75566
407,55,43896
408,94,58137
409,1,56042
410,35,66035
411,60,28042
412,38,55515
413,74,46130
414,25,54697
415,31,59758
416,6,35321
417,70,22932
418,97,37922
419,52,38439
420,68,75961
421,27,29896
422,66,44064
423,2,74500
424,76,49748
425,40,29254
426,73,79297
427,74,24711
428,86,43926
429,89,33743
430,23,30769
431,55,40422
432,98,45358
433,85,44131
434,66,62097
435,46,69963
436,22,62727
437,73,58053
438,69,71534
439,76,76336
440,14,20750
441,58,27459
442,61,29777
443,3,32818
444,38,32571
445,49,63419
446,83,70145
447,50,70326
448,66,73959
449,71,39804
450,72,60090
451,94,41998
452,52,75279
453,30,43728
454,33,52514
455,84,38808
456,31,48495
457,74,68004
458,73,30373
459,76,51456
460,22,64997
461,24,44572
462,44,63833
463,92,33623
464,61,23104
465,63,26361
466,58,32924
467,47,57089
468,65,62909
469,77,30406
470,24,79389
471,84,78090
472,49,53942
473,56,45933
474,29,76392
475,95,49012
476,60,25920
477,47,71927
478,57,20160
479,21,43585
480,53,70950
481,17,68425
482,31,32527
483,16,43217
484,74,21853
485,98,62104
486,35,68476
487,83,31692
488,33,66301
489,4,69167
490,37,24879
491,13,24487
492,76,48839
493,75,31841
494,3,55762
495,7,71920
496,24,77825
497,89,21430
498,80,64751
499,17,76464
500,66,65818
501,83,29571
502,33,66005
503,87,51081
504,100,30992
505,67,26558
506,92,58930
507,55,53827
508,16,26994
509,21,46816
510,7,46442
511,81,64384
512,44,40859
513,26,75797
514,62,29275
515,13,23975
516,22,70771
517,57,50395
518,97,59080
519,98,43394
520,51,40455
521,92,58703
522,42,53716
523,36,61078
524,55,51365
525,97,76826
526,32,58728
527,68,76898
528,89,25295
529,76,54552
530,30,58025
531,85,55410
532,97,38111
533,15,29077
534,26,69495
535,70,39735
536,50,29980
537,27,45226
538,75,73143
539,99,39971
540,55,22910
541,6,79949
542,38,73414
543,22,74463
544,25,70562
545,85,42182
546,67,53976
547,44,22890
548,36,55529
549,74,55921
550,74,59794
551,13,45868
552,91,45618
553,1,35440
554,13,77292
555,50,78580
556,57,65604
557,35,57534
558,76,36618
559,28,71315
560,35,60085
561,100,71779
562,54,33427
563,53,54899
564,28,29353
565,70,35235
566,74,66796
567,91,34900
568,4,68947
569,71,22964
570,27,21829
571,47,49250
572,82,38720
573,45,49957
574,48,77875
575,89,49059
576,27,76700
577,14,52960
578,51,31162
579,94,67899
580,29,24875
581,47,57373
582,59,32007
583,54,41763
584,62,23613
585,89,49680
586,41,79481
587,85,70474
588,18,43757
589,42,56166
590,79,27038
591,76,55526
592,32,43799
593,41,49092
594,7,70818
595,32,79846
596,14,33767
597,15,72147
598,73,43241
599,27,56828
600,14,35567
601,60,54557
602,71,56402
603,60,41859
604,72,30369
605,64,62638
606,53,52097
607,40,29335
608,49,25447
609,41,35244
610,91,60135
611,62,31544
612,24,45957
613,37,29688
614,58,69741
615,4,58888
616,65,48283
617,96,32049
618,88,63444
619,73,36161
620,57,40743
621,86,67059
622,83,66153
623,84,31184
624,93,67804
625,31,36495
626,51,31977
627,90,33248
628,59,41672
629,61,69327
630,7,43136
631,72,38765
632,56,27073
633,20,27466
634,63,60130
635,7,56600
636,1,52415
637,91,59402
638,43,52311
639,48,57975
640,91,31501
641,99,58858
642,99,27601
643,74,45994
644,31,50042
645,54,33748
646,56,35028
647,77,40314
648,12,72627
649,76,29786
650,17,67784
651,21,30506
652,45,44311
653,47,34130
654,53,58515
655,67,30669
656,32,60113
657,92,28412
658,41,27256
659,93,74790
660,92,71905
661,56,58518
662,88,22468
663,47,72106
664,22,45596
665,91,54245
666,62,52775
667,51,30759
668,73,28947
669,70,61701
670,59,66110
671,52,62259
672,2,31151
673,92,59278
674,63,51430
675,3,68435
676,92,32499
677,44,27920
678,74,73023
679,24,38735
680,44,35523
681,90,54557
682,67,76075
683,45,63624
684,86,61172
685,40,24563
686,59,66033
687,95,55158
688,66,54762
689,77,79398
690,100,72158
691,37,27347
692,72,65765
693,26,64058
694,54,30400
695,70,59364
696,64,38362
697,92,40848
698,19,71156
699,52,46904
700,71,60501
701,99,74841
702,94,65393
703,88,61944
704,94,75586
705,17,22943
706,13,38038
707,84,60307
708,77,40992
709,75,22106
710,53,34282
711,89,63382
712,23,35347
713,22,75066
714,95,66959
715,74,35061
716,27,41989
717,1,50766
718,57,59532
719,15,30563
720,96,56955
721,88,44825
722,62,33968
723,29,39338
724,32,20336
725,83,43098
726,29,70816
727,65,66950
728,13,42457
729,85,38077
730,33,37184
731,46,45070
732,46,66009
733,1,27949
734,15,27213
735,72,33717
736,41,33688
737,81,76658
738,31,72258
739,41,48156
740,43,32997
741,75,24955
742,3,58274
743,63,62211
744,58,55466
745,34,32219
746,31,50826
747,69,38145
748,71,37244
749,18,67123
750,68,23209
751,64,62756
752,30,33476
753,6,69610
754,43,78084
755,48,79204
756,77,59989
757,4,65114
758,60,72856
759,12,32334
760,83,73442
761,83,34866
762,52,63074
763,77,26145
764,77,25415
765,78,56284
766,48,57555
767,42,77899
768,39,34439
769,54,55938
770,85,72002
771,100,27119
772,8,70133
773,11,53474
774,57,34688
775,21,27905
776,81,40158
777,12,20391
778,71,22223
779,58,70025
780,67,25920
781,54,60820
782,20,49017
783,12,60303
784,81,77438
785,3,77915
786,26,70586
787,68,73602
788,58,26952
789,60,32318
790,42,53780
791,28,21653
792,39,48726
793,10,49432
794,11,21773
795,89,58923
796,60,72043
797,91,72674
798,62,37484
799,64,76168
800,11,75051
801,100,54063
802,26,72965
803,99,56640
804,68,51772
805,94,52707
806,5,26576
807,95,44673
808,14,67785
809,34,47095
810,52,22078
811,27,40035
812,40,79495
813,22,24242
814,58,48839
815,9,37847
816,15,66285
817,86,51894
818,29,28705
819,55,69040
820,60,37772
821,13,69786
822,34,67946
823,7,41303
824,9,34040
825,20,72185
826,9,47078
827,99,35303
828,32,41482
829,24,49612
830,90,40509
831,45,79296
832,32,29554
833,4,45841
834,75,28059
835,23,60021
836,31,33039
837,77,32722
838,3,27871
839,89,24027
840,48,27206
841,2,65803
842,49,29816
843,79,45948
844,44,64238
845,83,34322
846,90,60310
847,69,33640
848,36,47655
849,74,64011
850,10,64469
851,96,41962
852,85,66659
853,59,66653
854,26,67430
855,6,41215
856,33,53323
857,23,53110
858,17,39238
859,88,55648
860,3,48765
861,8,56482
862,54,47234
863,92,30949
864,27,75101
865,18,35402
866,8,31248
867,95,42100
868,7,43791
869,44,52140
870,19,27942
871,29,20663
872,4,32901
873,97,56062
874,85,72481
875,76,33023
876,68,22280
877,17,43311
878,18,62601
879,51,53120
880,4,35960
881,28,67544
882,7,24121
883,20,32899
884,87,25890
885,57,54263
886,79,21839
887,77,72901
888,70,69865
889,84,57742
890,80,52369
891,20,27475
892,82,72852
893,47,34350
894,55,69007
895,22,39390
896,41,22125
897,51,37222
898,79,72746
899,11,76951
900,79,36817
901,95,76596
902,91,34867
903,17,61131
904,22,27549
905,35,76599
906,13,59489
907,37,78826
908,59,34735
909,72,59775
910,51,30210
911,43,61849
912,14,20764
913,62,37902
914,93,25853
915,36,76337
916,47,42822
917,9,52871
918,64,74779
919,61,46208
920,33,64700
921,79,22748
922,70,69864
923,66,49095
924,79,76000
925,49,60489
926,86,59380
927,84,29598
928,30,40477
929,27,36238
930,73,61365
931,25,25343
932,26,60340
933,22,40701
934,76,29306
935,59,25633
936,2,56901
937,13,76703
938,55,49669
939,23,78541
940,54,55043
941,13,72148
942,10,79820
943,97,42427
944,78,42628
945,45,37300
946,8,26515
947,52,23022
948,18,69618
949,81,61387
950,14,51288
951,48,24489
952,74,78509
953,89,42602
954,7,28164
955,97,33263
956,71,47614
957,5,31040
958,21,58397
959,33,44465
960,77,57064
961,24,73666
962,37,79077
963,42,68025
964,78,26996
965,27,30702
966,6,78130
967,21,46639
968,75,46920
969,42,36969
970,88,49890
971,96,52176
972,77,46781
973,4,79264
974,67,39061
975,20,41577
976,48,34255
977,7,63202
978,21,66880
979,56,46022
980,18,29787
981,97,56284
982,43,48569
983,32,79327
984,5,35787
985,63,62719
986,100,51364
987,74,79411
988,84,76759
989,99,27764
990,67,23477
991,16,77120
992,93,30427
993,30,69759
994,12,61251
995,52,55959
996,9,24914
997,82,79117
998,4,33964
999,21,38532
1000,49,47050
